deployed	category	orig_mod	orig_dir	orig_file	base_volume
zs\foliage\all\snap13_00671f3f85	foliage	Amplified	ambient/soundscape/foliage	snap13	6.0
zs\foliage\all\snap16_314a49f2d1	foliage	Amplified	ambient/soundscape/foliage	snap16	6.0
zs\foliage\all\snap17_36e8302bc8	foliage	Amplified	ambient/soundscape/foliage	snap17	6.0
zs\foliage\all\snap18_2da0bec386	foliage	Amplified	ambient/soundscape/foliage	snap18	6.0
zs\foliage\all\snap19_bb4cc2cac8	foliage	Amplified	ambient/soundscape/foliage	snap19	6.0
zs\foliage\all\snap2_f4b0e467c1	foliage	Amplified	ambient/soundscape/foliage	snap2	6.0
zs\foliage\all\snap4_f25ee5915e	foliage	Amplified	ambient/soundscape/foliage	snap4	6.0
zs\foliage\all\snap5_f6893a2747	foliage	Amplified	ambient/soundscape/foliage	snap5	6.0
zs\foliage\all\snap7_9af822008a	foliage	Amplified	ambient/soundscape/foliage	snap7	6.0
zs\foliage\all\snap8_4eecb88d8f	foliage	Amplified	ambient/soundscape/foliage	snap8	3.726
zs\foliage\all\snap9_f7280315d4	foliage	Amplified	ambient/soundscape/foliage	snap9	4.558
zs\foliage\all\snap14_b52ea67846	foliage	Amplified	ambient/soundscape/foliage	snap14	6.0
